due_date,rank,business_id,name,city,category,stage,score,next_action,phone,email,website
"2026-05-19","1","fade-masters-phx","Fade Masters PHX","Phoenix","Haircuts","sponsor-ready","69","Pitch exposure package or featured placement.","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com"
"2026-05-20","2","bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Litchfield Park","Retail And Specialty","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(623) 935-0786","bobsmokeshopaz@gmail.com","https://bobs-smoke-shop.pages.dev/"
"2026-05-21","3","empire-pallets-phoenix","Empire Pallets","Phoenix","Business Services","profile-enrichment","65","Request offer, pricing, description, and badge cleanup.","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/"
"2026-05-22","4","next-level-gaming-goodyear","Next Level Gaming","Goodyear","Retail And Specialty","profile-enrichment","64","Request offer, pricing, description, and badge cleanup.","(623) 248-7458","nlgaming2023@gmail.com","https://www.nextlevelgamingaz.com/"
"2026-05-23","5","amazon-phoenix-major-employer-adc4ff0","Amazon","Phoenix","Major Employers","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.amazon.com"
"2026-05-24","6","american-express-phoenix-legal-financial-services-accebed","American Express","Phoenix","Legal And Financial","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.americanexpress.com"
"2026-05-25","7","arizona-state-university-tempe-education-childcare-d5b33c6","Arizona State University","Tempe","Education And Childcare","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.asu.edu"
"2026-05-26","8","avnet-phoenix-contractor-home-service-014d78b","Avnet","Phoenix","Home Services","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.avnet.com"
"2026-05-27","9","banner-health-phoenix-healthcare-wellness-e134708","Banner Health","Phoenix","Health And Care","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.bannerhealth.com"
"2026-05-28","10","dignity-health-phoenix-healthcare-wellness-449a910","Dignity Health","Phoenix","Health And Care","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.dignityhealth.org"
"2026-05-29","11","freeport-mcmoran-phoenix-major-employer-5d1daf7","Freeport-McMoRan","Phoenix","Major Employers","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.fcx.com"
"2026-05-30","12","honeywell-aerospace-phoenix-salon-personal-care-5eb247f","Honeywell Aerospace","Phoenix","Beauty And Wellness","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.honeywell.com"
"2026-05-31","13","intel-corporation-chandler-major-employer-e42a75d","Intel Corporation","Chandler","Major Employers","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.intel.com"
"2026-06-01","14","phoenix-children-s-hospital-phoenix-healthcare-wellness-79b5f94","Phoenix Children’s Hospital","Phoenix","Health And Care","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.phoenixchildrens.org"
"2026-06-02","15","republic-services-phoenix-business-professional-services-8a067e4","Republic Services","Phoenix","Business Services","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.republicservices.com"
"2026-06-03","16","sprouts-farmers-market-phoenix-retail-specialty-store-10c03b9","Sprouts Farmers Market","Phoenix","Retail And Specialty","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.sprouts.com"
"2026-06-04","17","state-of-arizona-phoenix-major-employer-d1d307f","State of Arizona","Phoenix","Major Employers","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.az.gov"
"2026-06-05","18","usaa-phoenix-legal-financial-services-7ae1e09","USAA","Phoenix","Legal And Financial","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.usaa.com"
"2026-06-06","19","wells-fargo-phoenix-legal-financial-services-e21b245","Wells Fargo","Phoenix","Legal And Financial","claim-and-verify","48","Invite owner to claim listing and submit proof packet.","","","https://www.wellsfargo.com"
