id,title,original_filename,web_ready_filename,hero_crop_filename,square_crop_filename,source_page,original_url,author,license,license_url,attribution,source_dimensions,use_note
01,Barber shop grand opening — haircut in chair,01_barber-chair-haircut-usaf-public-domain.jpg,01_barber-chair-haircut-usaf-public-domain_web_ready_2400px.jpg,01_barber-chair-haircut-usaf-public-domain_hero_1920x1080.jpg,01_barber-chair-haircut-usaf-public-domain_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_shop_grand_opening_(8489381).jpg,https://upload.wikimedia.org/wikipedia/commons/4/43/Barber_shop_grand_opening_%288489381%29.jpg,U.S. Air Force AFCENT / Staff Sgt. Sean Martin,Public domain — U.S. Air Force work,https://commons.wikimedia.org/wiki/Template:PD-USGov-Military-Air_Force,Public domain. Credit: U.S. Air Force AFCENT / Staff Sgt. Sean Martin.,6048x4024,Strong hero or service-card image.
02,Barber shop grand opening — mirror chair scene,02_barber-chair-mirror-haircut-usaf-public-domain.jpg,02_barber-chair-mirror-haircut-usaf-public-domain_web_ready_2400px.jpg,02_barber-chair-mirror-haircut-usaf-public-domain_hero_1920x1080.jpg,02_barber-chair-mirror-haircut-usaf-public-domain_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_shop_grand_opening_(8489377).jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Barber_shop_grand_opening_%288489377%29.jpg,U.S. Air Force AFCENT / Staff Sgt. Sean Martin,Public domain — U.S. Air Force work,https://commons.wikimedia.org/wiki/Template:PD-USGov-Military-Air_Force,Public domain. Credit: U.S. Air Force AFCENT / Staff Sgt. Sean Martin.,5592x3706,Best wide interior/haircut image for app cards.
03,Straight razor beard shave close-up,03_straight-razor-beard-shave-nenad-stojkovic-ccby2.jpg,03_straight-razor-beard-shave-nenad-stojkovic-ccby2_web_ready_2400px.jpg,03_straight-razor-beard-shave-nenad-stojkovic-ccby2_hero_1920x1080.jpg,03_straight-razor-beard-shave-nenad-stojkovic-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Attractive_hairdresser_is_shaving_male_beard_with_the_knife.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a4/Attractive_hairdresser_is_shaving_male_beard_with_the_knife.jpg,Nenad Stojkovic,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by Nenad Stojkovic, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",6016x4016,Best beard-trim / razor-service image.
04,"Comb and clipper haircut, back view — landscape",04_comb-clipper-back-view-man-barbershop-nenad-stojkovic-ccby2.jpg,04_comb-clipper-back-view-man-barbershop-nenad-stojkovic-ccby2_web_ready_2400px.jpg,04_comb-clipper-back-view-man-barbershop-nenad-stojkovic-ccby2_hero_1920x1080.jpg,04_comb-clipper-back-view-man-barbershop-nenad-stojkovic-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_cutting_hair_with_comb._Back_view_of_man_in_barber_shop.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Barber_cutting_hair_with_comb._Back_view_of_man_in_barber_shop.jpg,Nenad Stojkovic,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by Nenad Stojkovic, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",6016x4016,Clean close-up for fade/detail sections.
05,"Comb and clipper haircut, back view — portrait",05_comb-clipper-back-view-young-man-barbershop-nenad-stojkovic-ccby2.jpg,05_comb-clipper-back-view-young-man-barbershop-nenad-stojkovic-ccby2_web_ready_2400px.jpg,05_comb-clipper-back-view-young-man-barbershop-nenad-stojkovic-ccby2_hero_1920x1080.jpg,05_comb-clipper-back-view-young-man-barbershop-nenad-stojkovic-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_cutting_hair_with_comb._Back_view_of_young_man_in_barber_shop.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/Barber_cutting_hair_with_comb._Back_view_of_young_man_in_barber_shop.jpg,Nenad Stojkovic,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by Nenad Stojkovic, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",4016x6016,Portrait service image / mobile hero crop.
06,Young men with trendy haircut at barber shop,06_trendy-haircut-barbershop-mirror-nenad-stojkovic-ccby2.jpg,06_trendy-haircut-barbershop-mirror-nenad-stojkovic-ccby2_web_ready_2400px.jpg,06_trendy-haircut-barbershop-mirror-nenad-stojkovic-ccby2_hero_1920x1080.jpg,06_trendy-haircut-barbershop-mirror-nenad-stojkovic-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Young_men_with_trendy_haircut_at_barber_shop.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Young_men_with_trendy_haircut_at_barber_shop.jpg,Nenad Stojkovic,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by Nenad Stojkovic, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",4016x6016,Best clean “fresh cut” client image.
07,Barber/client image by Christoffer Engström,07_barber-chair-client-christoffer-engstrom-cc0.jpg,07_barber-chair-client-christoffer-engstrom-cc0_web_ready_2400px.jpg,07_barber-chair-client-christoffer-engstrom-cc0_hero_1920x1080.jpg,07_barber-chair-client-christoffer-engstrom-cc0_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Christoffer_Engstr%C3%B6m_2017-01-13_(Unsplash).jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Christoffer_Engstr%C3%B6m_2017-01-13_%28Unsplash%29.jpg,Christoffer Engström,Creative Commons CC0 1.0 Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,CC0. Optional credit: Christoffer Engström.,6000x4000,Strong lifestyle/grooming image.
08,Village Barber cutting station interior,08_village-barber-cutting-station-tessa-bury-ccby4.jpg,08_village-barber-cutting-station-tessa-bury-ccby4_web_ready_2400px.jpg,08_village-barber-cutting-station-tessa-bury-ccby4_hero_1920x1080.jpg,08_village-barber-cutting-station-tessa-bury-ccby4_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Village_Barber_Cutting_Station.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b4/Village_Barber_Cutting_Station.jpg,Tessa Bury,Creative Commons Attribution 4.0 International,https://creativecommons.org/licenses/by/4.0/,"Photo by Tessa Bury, CC BY 4.0. Changes in derivative folders: resized/cropped/compressed.",5472x3648,Clean shop interior / booking background.
09,Barber shop storefront at night,09_barber-shop-storefront-night-billie-grace-ward-ccby2.jpg,09_barber-shop-storefront-night-billie-grace-ward-ccby2_web_ready_2400px.jpg,09_barber-shop-storefront-night-billie-grace-ward-ccby2_hero_1920x1080.jpg,09_barber-shop-storefront-night-billie-grace-ward-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_Shop_(27896619788).jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Barber_Shop_%2827896619788%29.jpg,Billie Grace Ward,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by Billie Grace Ward, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",4821x3214,Good exterior/night/front-door image.
10,Barber shop interior on naval vessel,10_barber-shop-interior-jimmyweee-ccby2.jpg,10_barber-shop-interior-jimmyweee-ccby2_web_ready_2400px.jpg,10_barber-shop-interior-jimmyweee-ccby2_hero_1920x1080.jpg,10_barber-shop-interior-jimmyweee-ccby2_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_shop_(4682858271).jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Barber_shop_%284682858271%29.jpg,jimmyweee,Creative Commons Attribution 2.0 Generic,https://creativecommons.org/licenses/by/2.0/,"Photo by jimmyweee, CC BY 2.0. Changes in derivative folders: resized/cropped/compressed.",1200x800,Functional interior/environment image.
11,Modern barber chair,11_barber-chair-murshid-elamaram-cc0.jpg,11_barber-chair-murshid-elamaram-cc0_web_ready_2400px.jpg,11_barber-chair-murshid-elamaram-cc0_hero_1920x1080.jpg,11_barber-chair-murshid-elamaram-cc0_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Barber_chair.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Barber_chair.jpg,MURSHID ELAMARAM,Creative Commons CC0 1.0 Public Domain Dedication,https://creativecommons.org/publicdomain/zero/1.0/,CC0. Optional credit: MURSHID ELAMARAM.,3024x4032,Object/service visual; useful for placeholders without looking fake.
12,Historic Arvin Barber Shop,12_historic-arvin-barber-shop-public-domain.png,12_historic-arvin-barber-shop-public-domain_web_ready_2400px.jpg,12_historic-arvin-barber-shop-public-domain_hero_1920x1080.jpg,12_historic-arvin-barber-shop-public-domain_square_1600.jpg,https://commons.wikimedia.org/wiki/File:Arvin_Barber_Shop.png,https://upload.wikimedia.org/wikipedia/commons/9/9e/Arvin_Barber_Shop.png,Dorothea Lange / Library of Congress,Public domain — United States,https://commons.wikimedia.org/wiki/Template:PD-USGov,Public domain. Credit: Dorothea Lange / Library of Congress.,2860x1412,Vintage/history/editorial section image.
