id,name,category,subcategory,niche,city,state,zip,phone,email,website,booking_url,verification_score,starting_price,price_mode,claim_status,duplicate_status,identity_key,source_file,last_verified
"fade-masters-phx","Fade Masters PHX","Haircuts","Barber","Barber","Phoenix","AZ","85003","(602) 555-0123","book@fademastersphx.com","https://fademastersphx.com","https://book.fademastersphx.com","90","35","STARTING_AT","unclaimed","unscanned","domain:fademastersphx.com","seed/businesses/core.json","2026-02-04"
"480-realty-property-management-mesa-85209","480 Realty & Property Management","Real Estate And Property","Property Management","Residential Property Management","Mesa","AZ","85209","(480) 282-1234","mario@480realtypm.com","https://480-realty-property-management.pages.dev/","https://realty480pm.appfolio.com/","63","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:480-realty-property-management.pages.dev","seed/businesses/clients.json","2026-05-19"
"bobs-smoke-shop-litchfield-park","Bob's Smoke Shop","Retail And Specialty","Smoke Shop","Smoke Shop","Litchfield Park","AZ","85340","(623) 935-0786","bobsmokeshopaz@gmail.com","https://metraiyux-0s-full-system.graylondonskyes.workers.dev/skyenet/bobs-smoke-shop/","https://metraiyux-0s-full-system.graylondonskyes.workers.dev/skyenet/bobs-smoke-shop/contact.html","63","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:metraiyux-0s-full-system.graylondonskyes.workers.dev","seed/businesses/clients.json","2026-05-17"
"empire-pallets-phoenix","Empire Pallets","Business Services","Commercial Pallet Supply","Pallet Supply And Recycling","Phoenix","AZ","85009","(480) 662-6551","sales@empirepalletsaz.com","https://empire-pallets.pages.dev/","https://empire-pallets.pages.dev/quote.html","63","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:empire-pallets.pages.dev","seed/businesses/clients.json","2026-05-17"
"next-level-gaming-goodyear","Next Level Gaming","Retail And Specialty","Trading Card Shop","Trading Card Shop","Goodyear","AZ","85338","(623) 248-7458","nlgaming2023@gmail.com","https://www.nextlevelgamingaz.com/","https://btdgamingtcg.tcgplayerpro.com/","59","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:nextlevelgamingaz.com","seed/businesses/clients.json","2026-05-19"
"arclight-pictures-tucson","ArcLight Pictures","Creative Services","Video Production","Film / Video Production","Phoenix Metro","AZ","","(520) 230-1992","","https://arclight-pictures.pages.dev/","https://arclight-pictures.pages.dev/contact.html","55","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:arclight-pictures.pages.dev","seed/businesses/clients.json","2026-05-19"
"as-you-wish-pottery-westgate","As You Wish Pottery","Creative Services","Paint-Your-Own Pottery Studio","Pottery Studio / Art Experience","Glendale","AZ","85305","(623) 772-5403","","https://www.asyouwishpottery.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:asyouwishpottery.com","seed/businesses/northstar-clients.json","2026-05-27"
"chicken-n-pickle-westgate","Chicken N Pickle","Food And Events","Pickleball Club / Restaurant","Pickleball Club / Restaurant","Glendale","AZ","85305","(623) 352-8950","","https://chickennpickle.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:chickennpickle.com","seed/businesses/northstar-clients.json","2026-05-27"
"dave-and-busters-westgate","Dave & Buster’s","Food And Events","Restaurant / Entertainment","Arcade Sports Bar / Event Venue","Glendale","AZ","85305","(623) 759-7800","","https://www.daveandbusters.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:daveandbusters.com","seed/businesses/northstar-clients.json","2026-05-27"
"dink-and-dine-pickle-park-mesa-85201-5432605","Dink & Dine Pickle Park","Food And Events","Restaurant / Entertainment","Pickleball Club / Restaurant","Mesa","AZ","85201","(480) 719-4697","","https://dink-and-dine-pickle-park.pages.dev/","https://app.courtreserve.com/Online/Account/LogIn/12401","55","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:dink-and-dine-pickle-park.pages.dev","seed/businesses/clients.json, seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"escape-westgate","Escape Westgate","Food And Events","Escape Room","Escape Room Venue","Glendale","AZ","85305","(623) 282-1979","","https://www.escapewestgate.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:escapewestgate.com","seed/businesses/northstar-clients.json","2026-05-27"
"popstroke-westgate","PopStroke","Food And Events","Restaurant / Entertainment","Social Mini Golf / Restaurant","Glendale","AZ","85305","(623) 323-0002","","https://popstroke.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:popstroke.com","seed/businesses/northstar-clients.json","2026-05-27"
"state-farm-stadium","State Farm Stadium","Food And Events","Stadium / Event Venue","Stadium / Tours / Private Events","Glendale","AZ","85305","(623) 433-7101","","https://www.statefarmstadium.com/","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:statefarmstadium.com","seed/businesses/northstar-clients.json","2026-05-27"
"stir-crazy-comedy-club","Stir Crazy","Food And Events","Comedy Club","Comedy Club / Live Entertainment","Glendale","AZ","85305","(623) 565-8667","","https://www.stircrazycomedyclub.com","","55","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:stircrazycomedyclub.com","seed/businesses/northstar-clients.json","2026-05-27"
"techbros-electronic-recycling-and-itad-scottsdale-85260-8909b0c","Techbros Electronic Recycling & ITAD","Business Services","Electronics Recycling / ITAD","Electronics Recycling / ITAD","Scottsdale","AZ","85260","(480) 447-7356","","https://techbros-electronic-recycling-itad.pages.dev/","https://techbros-electronic-recycling-itad.pages.dev/quote.html","55","","CONTACT_FOR_QUOTE","unclaimed","merged","domain:techbros-electronic-recycling-itad.pages.dev","seed/businesses/clients.json, seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"goodyear-ballpark","Goodyear Ballpark","Food And Events","Ballpark / Sports Venue","Ballpark / Events / Community Venue","Goodyear","AZ","","","","https://goodyearbp.com/","","47","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:goodyearbp.com","seed/businesses/northstar-clients.json","2026-05-27"
"the-wigwam-resort","The Wigwam","Food And Events","Resort / Event Venue","Resort / Meetings / Weddings","Litchfield Park","AZ","","","","https://www.wigwamarizona.com/","","47","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:wigwamarizona.com","seed/businesses/northstar-clients.json","2026-05-27"
"theaterworks-peoria","TheaterWorks","Creative Services","Performing Arts Venue","Theater Company / Arts Education","Peoria","AZ","","","","https://theaterworks.org/","","47","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:theaterworks.org","seed/businesses/northstar-clients.json","2026-05-27"
"westgate-entertainment-district","Westgate","Food And Events","Entertainment District","Entertainment District / Destination","Glendale","AZ","85305","","","https://westgateaz.com/","","47","","FREE99_PLATFORM_INCLUDED","unclaimed","unscanned","domain:westgateaz.com","seed/businesses/northstar-clients.json","2026-05-27"
"alerus-phoenix-85008-783cb2b","Alerus","Legal And Financial","Small Business Banking / SBA Lending","Small Business Banking / SBA Lending","Phoenix","AZ","85008","(602) 346-1800","","https://alerus.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:alerus.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
"american-technology-specialists-mesa-85210-142f7ae","American Technology Specialists","Business Services","IT Services","IT Services","Mesa","AZ","85210","(480) 491-1400","","https://www.technologyspec.com","","21","","CONTACT_FOR_QUOTE","unclaimed","unscanned","domain:technologyspec.com","seed/businesses/inbox/valley_verified_public_lead_build_2026-05-19_v4.csv","2026-05-19"
