lead_id,company_name,business_type,category_bucket,niche,city,state,zip,phone,address,website,source_url,source_lines,business_verified,claim_status,accepts_requests,last_verified,tags,verification_notes,outreach_fit,notes
VV-0001,A-Z Air Duct,Home & Garden / Air duct cleaning,Home & Garden,Air duct cleaning,Tempe,AZ,85282,(602) 466-2234,"2105 S. 48th Street Suite 105, Tempe, AZ 85282",,https://business.phoenixchamber.com/list/ql/home-garden-12,L173-L177,false,unclaimed,true,2026-05-19,Air duct cleaning|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L173-L177.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0002,Az Pressure Wash and Windows,Home & Garden / Pressure washing / windows,Home & Garden,Pressure washing / windows,Scottsdale,AZ,85254,(480) 658-3605,"5615 E. Wethersfield Rd., Scottsdale, AZ 85254",,https://business.phoenixchamber.com/list/ql/home-garden-12,L179-L184,false,unclaimed,true,2026-05-19,Pressure washing / windows|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L179-L184.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0003,BestFit Water,Home & Garden / Water purification,Home & Garden,Water purification,Scottsdale,AZ,85250,(480) 213-8736,"6929 N Hayden Rd Suite C4-279, Scottsdale, AZ 85250",,https://business.phoenixchamber.com/list/ql/home-garden-12,L186-L191,false,unclaimed,true,2026-05-19,Water purification|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L186-L191.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0004,"Core Security Services, Inc.",Home & Garden / Security services,Home & Garden,Security services,Scottsdale,AZ,85253,(844) 250-2073,"6710 N. Scottsdale Rd. Suite 100, Scottsdale, AZ 85253",,https://business.phoenixchamber.com/list/ql/home-garden-12,L199-L204,false,unclaimed,true,2026-05-19,Security services|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L199-L204.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0005,Elite Rooter,Home & Garden / Plumbing / drain cleaning,Home & Garden,Plumbing / drain cleaning,Phoenix,AZ,85004,(623) 469-4660,"319 E. Watkins St., Phoenix, AZ 85004",,https://business.phoenixchamber.com/list/ql/home-garden-12,L206-L211,false,unclaimed,true,2026-05-19,Plumbing / drain cleaning|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L206-L211.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0006,Elite Windows and Doors,Home & Garden / Doors and windows,Home & Garden,Doors and windows,Scottsdale,AZ,85260,(480) 264-5409,"14455 N. 79th St., Ste. F, Scottsdale, AZ 85260",,https://business.phoenixchamber.com/list/ql/home-garden-12,L213-L217,false,unclaimed,true,2026-05-19,Doors and windows|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L213-L217.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0007,Flow Management Devices,Home & Garden / Water / flow devices,Home & Garden,Water / flow devices,Phoenix,AZ,85040,(602) 581-5092,"5225 S. 37th St., Phoenix, AZ 85040",,https://business.phoenixchamber.com/list/ql/home-garden-12,L219-L224,false,unclaimed,true,2026-05-19,Water / flow devices|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L219-L224.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0008,Gatsby Glass of Scottsdale,Home & Garden / Glass services,Home & Garden,Glass services,Scottsdale,AZ,85260,(480) 780-1000,"8350 E. Evans Rd. Suite D4, Scottsdale, AZ 85260",,https://business.phoenixchamber.com/list/ql/home-garden-12,L233-L237,false,unclaimed,true,2026-05-19,Glass services|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L233-L237.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0009,Good Golly Garage Doors,Home & Garden / Garage door repair/install,Home & Garden,Garage door repair/install,Phoenix,AZ,85050,(602) 887-4002,"2920 E. Mohawk Ln. Ste 100, Phoenix, AZ 85050",,https://business.phoenixchamber.com/list/ql/home-garden-12,L239-L246,false,unclaimed,true,2026-05-19,Garage door repair/install|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L239-L246.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
VV-0010,Groundworks,Home & Garden / Foundation / home services,Home & Garden,Foundation / home services,Phoenix,AZ,85027,(603) 837-5138,"2639 W. Lone Cactus Drive, Phoenix, AZ 85027",,https://business.phoenixchamber.com/list/ql/home-garden-12,L248-L252,false,unclaimed,true,2026-05-19,Foundation / home services|Home & Garden|Local SMB / service business|Public directory record,Imported from Valley Verified public lead build v4.|Public source status: PUBLIC DIRECTORY VERIFIED.|Source lines: L248-L252.|Source policy: public directory/company listing only; no synthetic contacts or guessed emails.,Local SMB / service business,
