"id","firstName","lastName","role","service","title","nameStatus"
"sol-review-001","","","Local Service Business Owner","Website Development","Website Development Review",""
"sol-review-002","","","Business Owner","Website Repair","Website Repair Review",""
"sol-review-003","","","Sales-Focused Client","Sales Funnel","Pitch Engine Review",""
"sol-review-004","","","Phoenix Metro Service Client","Local SEO","Local SEO Review",""
"sol-review-005","","","Founder","Brand Strategy","Brand Strategy Review",""
"sol-review-006","","","Small Business Founder","Brand Strategy","Business Identity Review",""
"sol-review-007","","","Operations Manager","Staffing Solutions","Staffing Solutions Review",""
"sol-review-008","","","Business Development Client","AE Network","AE Network Review",""
"sol-review-009","","","Account Executive","AE Network","AE Sales Scripts Review",""
"sol-review-010","","","Account Growth Client","AE Network","Account Closing Review",""
"sol-review-011","","","Staffing Operations Client","Staffing Solutions","Staffing Pipeline Review",""
"sol-review-012","","","Supply-Focused Client","Staffing + Sourcing","Product Sourcing Review",""
"sol-review-013","","","Administrative Lead","Automation","Automation Review",""
"sol-review-014","","","Service Team Lead","Operations","Workflow Cleanup Review",""
"sol-review-015","","","Automation Client","Automation","Business Automation Review",""
"sol-review-016","","","Lead Management Client","Lead Flow","Better Follow-Up Review",""
"sol-review-017","","","Founder","AI Systems","AI Systems Review",""
"sol-review-018","","","Digital Services Client","AI Systems","Local Brain Review",""
"sol-review-019","","","Customer Support Client","AI Systems","AI Website Assistant Review",""
"sol-review-020","","","Internal Operations Client","AI Systems","Internal Knowledge Base Review",""
"sol-review-021","","","Small Business Owner","Government Contracting","Government Contracting Readiness Review",""
"sol-review-022","","","Contractor Services Client","Government Contracting","Capability Statement Review",""
"sol-review-023","","","Contracting Readiness Client","Government Contracting","Government-Facing Presentation Review",""
"sol-review-024","","","Proposal Client","Government Contracting","Proposal Support Review",""
"sol-review-025","","","Client Services Operator","Client Portal","Client Upload Review",""
"sol-review-026","","","Document Workflow Client","Document Workflow","Document Handling Review",""
"sol-review-027","","","Service Intake Client","Client Portal","Client Intake Review",""
"sol-review-028","","","Client Portal Client","Client Portal","Client Portal Planning Review",""
"sol-review-029","","","Technical Operations Client","Deployment Support","Deployment Command Center Review",""
"sol-review-030","","","Startup Client","Deployment Support","Cloud Deployment Review",""
"sol-review-031","","","Web Project Client","Deployment Support","Netlify Deployment Review",""
"sol-review-032","","","Technical Client","Deployment Support","Technical Honesty Review",""
"sol-review-033","","","Web Operations Client","Deployment Support","Smoke-Test Review",""
"sol-review-034","","","Operations Client","Business Operations","Business Operations Review",""
"sol-review-035","","","Operations Director","Business Operations","Internal Dashboard Review",""
"sol-review-036","","","Founder / Operator","Business Operations","Business System Planning Review",""
"sol-review-037","","","Infrastructure Planning Client","Digital Infrastructure","Business Infrastructure Review",""
"sol-review-038","","","Technology Client","Digital Infrastructure","Platform Thinking Review",""
"sol-review-039","","","Digital Transformation Client","Digital Infrastructure","Digital Transformation Review",""
"sol-review-040","","","Professional Services Client","Trust Building","Trust Section Review",""
"sol-review-041","","","Multi-Service Business Owner","Service Strategy","Service Menu Review",""
"sol-review-042","","","Growth Client","Launch Support","Launch Confidence Review",""
"sol-review-043","","","Urgent Website Repair Client","Launch Support","Emergency Repair Review",""
